iter	RMSE
0	4730.33382
1	4568.529021
2	4409.798723
3	4264.851799
4	4127.943587
5	4001.405333
6	3878.394131
7	3762.190195
8	3657.202222
9	3554.434239
10	3455.732461
11	3373.121513
12	3285.763567
13	3200.932176
14	3123.509927
15	3053.351283
16	2984.432819
17	2919.561672
18	2845.791544
19	2773.055051
20	2698.272855
21	2624.790917
22	2560.121622
23	2496.062712
24	2442.586877
25	2390.899213
26	2332.4862
27	2289.422435
28	2241.92292
29	2197.744807
30	2154.384217
31	2113.552535
32	2078.797228
33	2040.260053
34	2004.7685
35	1974.367158
36	1939.690976
37	1911.492891
38	1887.549858
39	1860.636868
40	1834.162626
41	1811.615429
42	1791.139888
43	1771.287775
44	1751.743922
45	1733.953243
46	1717.721091
47	1700.824704
48	1683.013029
49	1669.490556
50	1657.754335
51	1643.439892
52	1628.688561
53	1617.170284
54	1605.560094
55	1592.562064
56	1581.792107
57	1572.246733
58	1562.007724
59	1552.038462
60	1543.837682
61	1535.926247
62	1526.046558
63	1519.414992
64	1513.163013
65	1505.866434
66	1500.501817
67	1492.021737
68	1486.773852
69	1480.838663
70	1474.050868
71	1467.58798
72	1463.39565
73	1459.123585
74	1455.38275
75	1447.664218
76	1444.267455
77	1438.630534
78	1434.217136
79	1430.395277
80	1423.800579
81	1420.089877
82	1416.935605
83	1411.714191
84	1406.469798
85	1401.156544
86	1398.138259
87	1394.535911
88	1391.307354
89	1387.234316
90	1382.808751
91	1381.132571
92	1378.091406
93	1376.950839
94	1373.545631
95	1370.566251
96	1367.88098
97	1363.901068
98	1361.500687
99	1358.335318
100	1354.860261
101	1352.554102
102	1350.437001
103	1347.030779
104	1345.956154
105	1344.396394
106	1343.541961
107	1342.851528
108	1341.011353
109	1339.19528
110	1337.268895
111	1336.101619
112	1335.300292
113	1332.084724
114	1331.034201
115	1328.706196
116	1326.80686
117	1325.354409
118	1322.40007
119	1321.599025
120	1319.921798
121	1319.393074
122	1316.809226
123	1316.194525
124	1314.456855
125	1312.631505
126	1310.887946
127	1309.376148
128	1309.239955
129	1307.972635
130	1307.393696
131	1306.703074
132	1306.597376
133	1304.690951
134	1303.313119
135	1301.842786
136	1300.713827
137	1300.370816
138	1298.627603
139	1295.815655
140	1294.737937
141	1293.612373
142	1293.114588
143	1290.007599
144	1288.401712
145	1288.084265
146	1286.65033
147	1286.041618
148	1285.05396
149	1282.82085
150	1282.05626
151	1281.576003
152	1281.264231
153	1280.876939
154	1280.155543
155	1278.486615
156	1275.961113
157	1275.070881
158	1273.112233
159	1270.873221
160	1269.949234
161	1267.787844
162	1267.610235
163	1265.856696
164	1265.069504
165	1263.943822
166	1260.980274
167	1259.894677
168	1258.720126
169	1257.647033
170	1255.173995
171	1252.572414
172	1249.888595
173	1248.790141
174	1247.840709
175	1246.047843
176	1244.931857
177	1242.298668
178	1239.339909
179	1238.407403
180	1235.673204
181	1235.002284
182	1233.470244
