iter	Passed	Remaining
0	175	175128
1	195	97596
2	213	71037
3	234	58446
4	256	50963
5	277	45972
6	298	42347
7	318	39547
8	340	37475
9	361	35830
10	383	34501
11	401	33040
12	422	32111
13	446	31415
14	467	30717
15	489	30088
16	510	29522
17	532	29049
18	555	28693
19	577	28303
20	599	27928
21	620	27563
22	640	27227
23	662	26935
24	683	26675
25	706	26461
26	729	26294
27	751	26082
28	772	25867
29	793	25659
30	814	25470
31	836	25313
32	860	25203
33	883	25091
34	906	24994
35	932	24962
36	959	24971
37	989	25044
38	1017	25062
39	1044	25064
40	1069	25023
41	1095	24985
42	1120	24927
43	1152	25042
44	1183	25109
45	1210	25107
46	1239	25127
47	1265	25092
48	1291	25059
49	1322	25133
50	1349	25106
51	1375	25083
52	1401	25046
53	1426	24992
54	1451	24932
55	1476	24884
56	1500	24828
57	1526	24796
58	1554	24790
59	1578	24725
60	1600	24640
61	1624	24575
62	1651	24567
63	1674	24484
64	1698	24435
65	1726	24436
66	1751	24390
67	1776	24352
68	1808	24395
69	1834	24372
70	1862	24363
71	1883	24282
72	1905	24193
73	1926	24111
74	1948	24034
75	1975	24022
76	1999	23970
77	2022	23903
78	2044	23830
79	2066	23764
80	2088	23694
81	2109	23620
82	2131	23547
83	2153	23480
84	2174	23410
85	2196	23341
86	2217	23275
87	2240	23215
88	2261	23148
89	2282	23082
90	2304	23019
91	2326	22963
92	2347	22894
93	2368	22831
94	2390	22773
95	2412	22714
96	2433	22653
97	2455	22600
98	2478	22556
99	2501	22509
100	2522	22454
101	2545	22409
102	2570	22383
103	2592	22335
104	2614	22285
105	2636	22238
106	2658	22184
107	2680	22139
108	2702	22094
109	2725	22048
110	2746	21996
111	2768	21951
112	2789	21897
113	2812	21861
114	2834	21814
115	2855	21763
116	2877	21718
117	2898	21668
118	2920	21617
119	2940	21565
120	2962	21517
121	2983	21472
122	3004	21424
123	3025	21373
124	3046	21328
125	3068	21287
126	3090	21246
127	3112	21201
128	3119	21064
129	3141	21022
130	3163	20982
131	3184	20940
132	3192	20808
133	3212	20762
134	3233	20719
135	3254	20678
136	3275	20636
137	3297	20599
138	3318	20557
139	3340	20518
140	3361	20478
141	3383	20442
142	3404	20405
143	3425	20364
144	3447	20326
145	3468	20290
146	3490	20252
147	3511	20214
148	3533	20183
149	3555	20146
150	3576	20109
151	3599	20080
152	3623	20060
153	3647	20040
154	3672	20021
155	3696	20001
156	3721	19980
157	3743	19947
158	3764	19912
159	3786	19880
160	3811	19861
161	3835	19842
162	3863	19838
163	3887	19816
164	3911	19794
165	3935	19772
166	3957	19739
167	3980	19711
168	4003	19684
169	4027	19663
170	4051	19642
171	4075	19617
172	4098	19590
173	4122	19567
174	4146	19547
175	4170	19525
176	4194	19503
177	4216	19473
178	4239	19443
179	4263	19423
180	4287	19399
181	4311	19376
182	4333	19345
183	4354	19310
184	4375	19274
185	4397	19244
186	4419	19214
187	4441	19184
188	4466	19165
189	4488	19134
190	4510	19102
191	4531	19070
192	4553	19038
193	4574	19005
194	4599	18988
195	4625	18973
196	4651	18958
197	4684	18975
198	4717	18986
199	4749	18996
200	4776	18985
201	4801	18967
202	4825	18945
203	4848	18918
204	4873	18899
205	4899	18884
206	4925	18867
207	4948	18843
208	4971	18814
209	4993	18785
210	5017	18760
211	5042	18741
212	5069	18729
213	5094	18713
214	5117	18686
215	5143	18668
216	5168	18650
217	5194	18633
218	5219	18613
219	5244	18594
220	5269	18576
221	5295	18557
222	5321	18541
223	5347	18524
224	5372	18505
225	5398	18487
226	5423	18468
227	5448	18448
228	5474	18431
229	5498	18409
230	5522	18383
231	5543	18349
232	5563	18314
233	5585	18285
234	5608	18258
235	5630	18229
236	5652	18196
237	5674	18167
238	5695	18135
239	5717	18104
240	5737	18070
241	5760	18042
242	5781	18010
243	5805	17988
244	5832	17972
245	5860	17963
246	5884	17938
247	5907	17912
248	5929	17882
249	5953	17859
250	5974	17828
251	5997	17801
252	6019	17774
253	6041	17743
254	6063	17714
255	6085	17684
256	6106	17655
257	6128	17624
258	6150	17595
259	6171	17565
260	6193	17536
261	6215	17506
262	6236	17476
263	6260	17452
264	6283	17428
265	6307	17403
266	6331	17382
267	6354	17357
268	6378	17333
269	6401	17307
270	6423	17280
271	6446	17253
272	6468	17224
273	6489	17195
274	6511	17167
275	6533	17139
276	6555	17109
277	6576	17080
278	6598	17050
279	6619	17021
280	6640	16991
281	6662	16964
282	6684	16936
283	6706	16908
284	6729	16882
285	6752	16856
286	6776	16834
287	6804	16821
288	6828	16799
289	6854	16781
290	6878	16758
291	6900	16732
292	6922	16704
293	6945	16679
294	6967	16650
295	6988	16620
296	7010	16593
297	7033	16568
298	7055	16542
299	7075	16510
300	7097	16481
301	7117	16451
302	7138	16421
303	7159	16391
304	7181	16364
305	7205	16341
306	7229	16318
307	7256	16302
308	7280	16280
309	7305	16260
310	7329	16238
311	7351	16212
312	7373	16184
313	7396	16158
314	7418	16132
315	7439	16103
316	7462	16077
317	7483	16050
318	7506	16025
319	7528	15997
320	7549	15969
321	7571	15941
322	7593	15915
323	7617	15892
324	7640	15869
325	7665	15847
326	7688	15824
327	7712	15800
328	7734	15774
329	7756	15748
330	7781	15728
331	7805	15704
332	7826	15677
333	7851	15656
334	7875	15632
335	7896	15604
336	7918	15577
337	7939	15549
338	7960	15521
339	7982	15495
340	8004	15468
341	8026	15442
342	8047	15414
343	8068	15386
344	8092	15363
345	8115	15339
346	8138	15315
347	8162	15293
348	8185	15269
349	8209	15245
350	8230	15218
351	8251	15190
352	8273	15164
353	8294	15136
354	8316	15110
355	8337	15083
356	8359	15057
357	8381	15030
358	8403	15004
359	8424	14976
360	8445	14949
361	8466	14922
362	8488	14895
363	8512	14872
364	8534	14848
365	8558	14825
366	8581	14801
367	8604	14777
368	8628	14754
369	8651	14730
370	8674	14707
371	8696	14681
372	8718	14656
373	8740	14629
374	8761	14603
375	8785	14580
376	8810	14558
377	8833	14536
378	8857	14513
379	8882	14492
380	8906	14469
381	8931	14449
382	8957	14430
383	8987	14417
384	9016	14403
385	9044	14386
386	9071	14368
387	9096	14347
388	9121	14326
389	9145	14304
390	9170	14283
391	9191	14256
392	9212	14229
393	9233	14201
394	9254	14175
395	9276	14149
396	9298	14123
397	9320	14097
398	9342	14072
399	9363	14045
400	9385	14020
401	9409	13997
402	9431	13972
403	9453	13946
404	9475	13920
405	9497	13895
406	9520	13871
407	9544	13848
408	9566	13823
409	9588	13798
410	9612	13775
411	9639	13756
412	9664	13736
413	9691	13718
414	9716	13696
415	9737	13669
416	9758	13643
417	9781	13618
418	9803	13593
419	9825	13568
420	9852	13550
421	9877	13528
422	9900	13504
423	9924	13482
424	9948	13459
425	9970	13434
426	9993	13410
427	10016	13386
428	10038	13361
429	10060	13335
430	10081	13309
431	10104	13284
432	10125	13259
433	10147	13234
434	10168	13207
435	10190	13182
436	10212	13157
437	10235	13132
438	10258	13109
439	10281	13085
440	10305	13063
441	10327	13037
442	10349	13012
443	10370	12985
444	10391	12960
445	10413	12935
446	10435	12910
447	10456	12884
448	10477	12857
449	10499	12832
450	10521	12808
451	10544	12784
452	10567	12760
453	10589	12735
454	10611	12710
455	10634	12687
456	10656	12662
457	10678	12636
458	10700	12612
459	10721	12586
460	10743	12561
461	10767	12538
462	10789	12513
463	10810	12487
464	10831	12461
465	10852	12436
466	10873	12410
467	10894	12384
468	10916	12359
469	10939	12335
470	10961	12311
471	10983	12286
472	11004	12261
473	11026	12235
474	11048	12211
475	11069	12186
476	11092	12162
477	11114	12137
478	11136	12112
479	11157	12087
480	11179	12062
481	11201	12037
482	11222	12012
483	11244	11987
484	11264	11961
485	11285	11935
486	11307	11911
487	11329	11886
488	11350	11861
489	11372	11836
490	11394	11812
491	11420	11791
492	11442	11767
493	11468	11746
494	11493	11725
495	11517	11702
496	11540	11680
497	11565	11658
498	11590	11636
499	11624	11624
500	11650	11603
501	11674	11581
502	11698	11559
503	11722	11536
504	11749	11516
505	11775	11496
506	11799	11473
507	11823	11451
508	11851	11432
509	11876	11410
510	11901	11389
511	11926	11367
512	11951	11345
513	11979	11326
514	12007	11308
515	12034	11287
516	12058	11265
517	12084	11244
518	12110	11223
519	12135	11202
520	12159	11179
521	12183	11156
522	12206	11132
523	12231	11110
524	12256	11089
525	12280	11066
526	12304	11043
527	12326	11019
528	12348	10994
529	12371	10971
530	12396	10948
531	12421	10926
532	12445	10904
533	12471	10883
534	12497	10862
535	12523	10841
536	12548	10819
537	12571	10795
538	12594	10771
539	12616	10747
540	12638	10722
541	12659	10697
542	12682	10673
543	12708	10652
544	12736	10632
545	12764	10613
546	12790	10592
547	12816	10571
548	12843	10551
549	12870	10530
550	12899	10511
551	12928	10492
552	12957	10473
553	12986	10454
554	13014	10435
555	13044	10416
556	13072	10396
557	13102	10379
558	13133	10360
559	13161	10340
560	13189	10321
561	13216	10300
562	13245	10281
563	13273	10260
564	13301	10241
565	13328	10220
566	13357	10201
567	13385	10180
568	13412	10159
569	13450	10147
570	13479	10127
571	13504	10104
572	13537	10088
573	13566	10068
574	13597	10050
575	13627	10031
576	13659	10013
577	13690	9995
578	13716	9973
579	13741	9950
580	13774	9934
581	13815	9922
582	13852	9908
583	13887	9892
584	13922	9876
585	13955	9859
586	13990	9843
587	14032	9832
588	14065	9815
589	14097	9796
590	14129	9778
591	14162	9760
592	14194	9742
593	14224	9722
594	14253	9701
595	14286	9683
596	14316	9664
597	14349	9646
598	14381	9627
599	14412	9608
600	14458	9598
601	14497	9584
602	14552	9580
603	14601	9573
604	14643	9560
605	14692	9552
606	14730	9537
607	14766	9520
608	14806	9506
609	14843	9490
610	14872	9468
611	14924	9461
612	14954	9441
613	14985	9420
614	15017	9401
615	15048	9380
616	15102	9375
617	15167	9375
618	15220	9368
619	15264	9355
620	15305	9341
621	15342	9323
622	15377	9305
623	15418	9290
624	15461	9276
625	15500	9260
626	15532	9240
627	15570	9223
628	15608	9206
629	15650	9191
630	15683	9171
631	15716	9151
632	15774	9145
633	15811	9127
634	15848	9109
635	15885	9091
636	15912	9068
637	15946	9047
638	15985	9031
639	16021	9011
640	16052	8990
641	16091	8973
642	16120	8950
643	16150	8927
644	16180	8905
645	16208	8881
646	16236	8858
647	16265	8835
648	16293	8812
649	16337	8797
650	16362	8772
651	16392	8749
652	16424	8727
653	16454	8705
654	16485	8683
655	16518	8662
656	16557	8643
657	16603	8629
658	16649	8615
659	16688	8597
660	16736	8583
661	16779	8567
662	16830	8554
663	16871	8537
664	16900	8513
665	16935	8493
666	16967	8471
667	16995	8446
668	17021	8421
669	17053	8399
670	17082	8375
671	17109	8351
672	17136	8326
673	17164	8302
674	17192	8278
675	17219	8253
